X_id,objectid,project_name,address,status,description,image,project_url,project_type,image_alt_text,takedown_date,ward_name,ward_number,globalid,geometry
17,30,David Crombie Park Revitalization,131 The Esplanade,In progress,The City is improving David Crombie Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/david-crombie-park-revitalization-design/,Park or Facility Improvements,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Spadina-Fort York,10,5c264170-c2c4-47c3-890a-e2bfc20470c1,"{'type': 'MultiPoint', 'coordinates': [[-79.370272979435, 43.6481817802904]]}"
18,31,Wabash Community Recreation Centre ,40 Wabash Avenue ,In progress,The City is building a new community recreation centre in Sorauren Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2018/07/8f9e-wabash-community-centre-project-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/wabash-community-centre/,New Community Recreation Centre,An aerial view the the site where the new community centre will be built. It is next to Sorauren Avenue Park.,NA,Parkdale-High Park,4,0d7e2620-6edf-4f63-a403-7bbecf4603c5,"{'type': 'MultiPoint', 'coordinates': [[-79.4422981899778, 43.6483450700694]]}"
19,32,Market Lane Park Improvements ,149 King Street East ,In progress,The City is improving Market Lane Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/05/971e-market-lane-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/market-lane-park-improvements/,Park or Facility Improvements,"The entrance to Market Lane Park which shows a vertical park sign, bike rental rack and a row of trees along a concrete and brick pathway.",NA,Toronto Centre,13,cd093a84-6d72-47aa-887d-ad574d66cfdb,"{'type': 'MultiPoint', 'coordinates': [[-79.3725569297779, 43.6500807296176]]}"
20,34,Alexandra Park Improvements ,275 Bathurst Street,In progress,The City is improving Alexandra Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/02/9543-alexandra-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/alexandra-park-improvements/,Park or Facility Improvements,"A photograph of Alexandra Park taken on a sunny day. An open law area and ball diamond are in the foreground, with mature trees and the CN Tower in the background.",NA,Spadina-Fort York,10,ff2fa8bd-95fa-438e-bb3d-f4c23f13cfdc,"{'type': 'MultiPoint', 'coordinates': [[-79.4050451601033, 43.6511082603193]]}"
21,35,Tom Riley Park Playground Improvements,4725 Dundas Street West ,Complete,The City is improving the playground at Tom Riley Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2023/11/9932-tom-riley-park-playground-improvements-banner-after.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/tom-riley-park-playground-improvements/,Playground Improvements,A photo of Tom Riley Playground which shows a wood play structure in the shape of a beaver with a slide on top of blue rubber surfacing. In the background is a spider web climbing net and climbing posts.,NA,Etobicoke Centre,2,6d268e07-3550-4c5a-baed-2dfac2a5ca9a,"{'type': 'MultiPoint', 'coordinates': [[-79.5259681597976, 43.6513079095766]]}"
22,36,Centennial Park Master Plan Update,256 Centennial Park Road ,Complete,"The City has completed the Master Plan Update for Centennial Park to provide a new vision, objectives and action items to guide changes in the park over the next 20 years.",https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/centennial-park-master-plan/,Master Plan or Study,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke Centre,2,54cc9afc-d51e-402b-b1d1-3b61417f84ea,"{'type': 'MultiPoint', 'coordinates': [[-79.5929318605866, 43.6516961603765]]}"
23,37,New Parks in the Moss Park Neighbourhood,,In progress,Two new parks are coming to the Moss Park neighbourhood. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-north-st-lawrence-neighbourhood/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto Centre,13,0e9f01f4-68c9-4101-a234-6eb37f276fdc,"{'type': 'MultiPoint', 'coordinates': [[-79.3665983594999, 43.651838609666]]}"
24,40,New Parks in the Moss Park Neighbourhood,,In progress,Two new parks are coming to the Moss Park neighbourhood. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-north-st-lawrence-neighbourhood/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto Centre,13,c724d70b-f0e9-4bc2-a4fc-facf839953f4,"{'type': 'MultiPoint', 'coordinates': [[-79.3678958205742, 43.6539411899038]]}"
25,42,Moss Park Park Improvements & John Innes Community Recreation Centre Replacement,150 Sherbourne Street ,In progress,The City is improving Moss Park and John Innes Community Recreation Centre to better serve all community members.,https://www.toronto.ca/wp-content/uploads/2020/03/96d3-moss-park-revitalization-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/moss-park-redevelopment/,Park or Facility Improvements,Playground equipment on a sunny day at Moss Park.,NA,Toronto Centre,13,0def5ce8-4775-4c91-a886-e2f0cf9b0beb,"{'type': 'MultiPoint', 'coordinates': [[-79.3704001996956, 43.655396129925]]}"
26,43,Corktown Common Neighbourhood Dogs Off-Leash Area,150 Bayview Avenue ,In progress,"After investigating four potential sites, the City will be installing a new dogs off-leash area (OLA) in the western portion of Underpass Park which is bounded by St. Lawrence Street, Eastern Avenue and the Eastern Avenue Diversion.",https://www.toronto.ca/wp-content/uploads/2022/03/95b0-corktown-common-neighbourhood-ola-banner.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/corktown-common-neighbourhood-dogs-off-leash-area/,Park or Facility Improvements,"An artist rendering of the dogs off-leash area (OLA) in Underpass Park, which shows an enclosed area for dogs, with grass surrounded by a black fence. The area surrounding the OLA has landscaping and plants and is surrounded by a concrete seatwall and pathways. The OLA is just below an overpass.",NA,Toronto Centre,13,28f35f7e-c015-4052-b1b1-de38f6a548b8,"{'type': 'MultiPoint', 'coordinates': [[-79.3551844300399, 43.6554404599161]]}"
27,46,Dufferin Grove Park North-West Corner Improvements,875 Dufferin Street ,In progress,The City is improving the northwest corner of Dufferin Grove Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/01/9525-DG-NorthWest-View-1024x338.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/dufferin-grove/,Park or Facility Improvements,"Artist rendering of the new facilities proposed for the northwest corner of Dufferin Grove Park. Park features include: clubhouse, outdoor ice rinks and basketball court.",NA,Davenport,9,91d3c857-64fd-4d3e-b546-95d5f2dbf3e1,"{'type': 'MultiPoint', 'coordinates': [[-79.4336041500754, 43.6570510401038]]}"
28,48,New Park at 1 Defries Street,1 Defries Street,In progress,A new park is coming to 1 Defries Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-1-defries-street/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto Centre,13,60fc8e74-ff8a-4a87-944a-1122daf6b66c,"{'type': 'MultiPoint', 'coordinates': [[-79.3562021005496, 43.6602038096574]]}"
29,49,Lower Don Trail Improvements,,In progress,The City is improving the Lower Don Trail. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/9062-lower-don-trail-master-plan-banner.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/lower-don-trail/,Park or Facility Improvements,"Artist illustration shows people walking and cycling on the Lower Don Trail below the Riverdale Pedestrian Bridge, with new sloped path structure connecting the bridge to the trail below.",NA,Toronto Centre,13,cfce2a1e-d703-4532-8390-7add5d1b8852,"{'type': 'MultiPoint', 'coordinates': [[-79.3557782696576, 43.6619139002706]]}"
30,50,Florence Gell Park Playground Improvements ,85 Varsity Road ,Complete,The City is improving the playground at Florence Gell Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/10/8e1d-florence-gell-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/florence-gell-park-playground-improvements/,Playground Improvements,An image of Florence Gell Park Playground taken at ground level which shows the wooden junior and senior play structures (shown in red) in the background. The play area is surrounded by tall mature trees and grass.,NA,Parkdale-High Park,4,05e79073-da64-4de0-b4fd-59ae33597a2b,"{'type': 'MultiPoint', 'coordinates': [[-79.4981943706095, 43.6619379299837]]}"
31,51,Chimney Swift Park ,19 Glen Agar Drive ,In progress,The City is improving Chimney Swift Park . Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-19-glen-agar-drive/,Park or Facility Improvements,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke Centre,2,a2910c77-19db-473b-b85c-012b1fee5733,"{'type': 'MultiPoint', 'coordinates': [[-79.5515461703584, 43.6621565095765]]}"
32,52,Perth Square Park Playground Improvements,350 Perth Avenue,Complete,The City is improving the playground at Perth Square Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/01/963c-perth-square-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/perth-square-park-playground-improvements/,Playground Improvements,A photograph of Perth Square Park Playground which includes various play equipment on top of sand. Adjacent to the playground is a bench and picnic table. The playground is surrounded by mature trees.,NA,Davenport,9,bd158fd8-d040-4671-9d0b-9ced2d1e8aea,"{'type': 'MultiPoint', 'coordinates': [[-79.4522661299652, 43.6641194799912]]}"
33,53,Mirvish Village Park ,,In progress,A new park is coming to Mirvish Village. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/03/9699-mirvish-village-park-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/mirvish-village-park/,New Park,"Eye-level perspective rendering of the new park at Mirvish Village, featuring a view looking towards Markham Street Forecourt.",NA,University-Rosedale,11,2cbdfa1c-67c2-450e-ae97-d42dde5ead4b,"{'type': 'MultiPoint', 'coordinates': [[-79.4125328096884, 43.6641407303792]]}"
34,54,New Park at 51 Sussex Avenue,51 Sussex Avenue,In progress,A new park is coming to 51 Sussex Avenue. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-51-sussex-avenue/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,University-Rosedale,11,51187385-7589-4f20-9320-c01e0e79ab52,"{'type': 'MultiPoint', 'coordinates': [[-79.4031023897603, 43.6643712202639]]}"
35,56,Huron-Washington Parkette Playground Improvements ,420 Huron Street ,In progress,The City is improving the playground at Huron-Washington Parkette. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/10/9869-huron-washington-park-playground-improvements-banner.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/huron-washington-parkette-playground-improvements/,Playground Improvements,"An image of the playground taken in 2018 which shows a swing set in the foreground and two blue, yellow and red play structures in the background. The playground is on top of sand and is right beside the University of Toronto Schools (UTS) building.",NA,University-Rosedale,11,8a92471c-ccf2-4e55-963d-67230bce3724,"{'type': 'MultiPoint', 'coordinates': [[-79.4014580604427, 43.6660858802822]]}"
36,58,"Wallace Emerson Park, Community Centre & Child Care Centre ",1260 Dufferin Street ,In progress,The City is building a new park and community recreation centre as part of the Reimagine Galleria Master Plan. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/07/8e92-wallace-emerson-park-cc-child-care-rendering-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/wallace-emerson-park-and-community-centre/,New Community Recreation Centre,An artist rendering of the exterior of the Wallace Emerson Community Recreation and Child Care Centre.,NA,Davenport,9,dbfe51a5-57d0-4306-9af8-ee5f711926d4,"{'type': 'MultiPoint', 'coordinates': [[-79.4392738602177, 43.667323590025]]}"
37,59,Norman Jewison Park Improvements ,13 Isabella Street ,In progress,The City is improving Norman Jewison Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/08/8fbe-yonge-street-linear-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/norman-jewison-park-improvements/,Park or Facility Improvements,"A wide photograph of Norman Jewison Park, one of the parks along Yonge Street that are being improved.",NA,Toronto Centre,13,94071b3f-8d1a-4acc-b30a-b56215c03596,"{'type': 'MultiPoint', 'coordinates': [[-79.3847269402818, 43.6675770200202]]}"
38,60,George Hislop Park Improvements ,20 Isabella Street ,In progress,The City is improving George Hislop Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/08/8fbe-yonge-street-linear-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/george-hislop-park-improvements/,Park or Facility Improvements,"A wide photograph of Norman Jewison Park, one of the parks along Yonge Street that are being improved.",NA,Toronto Centre,13,9c1f1426-74f6-4673-b8ca-50c5ba123880,"{'type': 'MultiPoint', 'coordinates': [[-79.3848033903651, 43.6679836702643]]}"
39,61,Matty Eckler Playground Improvements,953 Gerrard Street East,In progress,The City is improving the playground at Matty Eckler Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/9509-matty-eckler-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/matty-eckler-playground-improvements/,Playground Improvements,"A photograph of Matty Eckler Playground taken in the fall. The swing set, teeter totter, and two playground structures (shown in yellow) are in the foreground. A wading pool is in the background.",NA,Toronto-Danforth,14,8fa1016e-dd6a-42f1-9617-589b131d51f7,"{'type': 'MultiPoint', 'coordinates': [[-79.3394001999836, 43.6680622599529]]}"
40,62,St. James Town Open Space Redesign ,,In progress,A new park is coming to St. James Town. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/st-james-town-open-space-redesign/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto Centre,13,1da6843a-b006-4028-b507-0c38ed294e8f,"{'type': 'MultiPoint', 'coordinates': [[-79.3730556202185, 43.6683784097814]]}"
41,63,Runnymede Park Improvements,221 Ryding Avenue ,In progress,The City is improving Runnymede Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/runnymede-park-improvements/,Park or Facility Improvements,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,York South-Weston,5,43b7534b-042e-4988-8015-9ac8052aa89a,"{'type': 'MultiPoint', 'coordinates': [[-79.4788415904334, 43.668563260367]]}"
42,65,St. James Town West Park Redesign,589 Sherbourne Street,In progress,The City is improving St. James Town West Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/08/8ee1-st-james-town-west-park-redesign-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/st-james-town-west-park-revitalization/,Park or Facility Improvements,The image shows a view looking into St. James Town West Park from the west entrance on Sherbourne Street. The park's mature trees and pathways are shown.,NA,Toronto Centre,13,ff23187c-acb4-4ccb-bb7c-0382f04fc3d4,"{'type': 'MultiPoint', 'coordinates': [[-79.3759343599777, 43.670806590267]]}"
43,66,New Park at 840 Dupont Street ,840 Dupont Street,In progress,A new park is coming to 840 Dupont Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-840-dupont-street/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,University-Rosedale,11,e7f5ce1f-6a16-4c88-9261-e81134864cc2,"{'type': 'MultiPoint', 'coordinates': [[-79.4275737094589, 43.6709778602128]]}"
44,69,The Green Line ,,In progress,The Green Line is a proposed new linear park system in an active hydro-electric corridor. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/green-line-implementation-plan/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto-St. Paul's,12,ca38551f-742b-4e41-8bf5-f0361a079526,"{'type': 'MultiPoint', 'coordinates': [[-79.4282437198068, 43.6714363901175]]}"
45,71,New Park at 6 Lloyd Avenue,6 Lloyd Avenue ,In progress,A new park is coming to 6 Lloyd Avenue. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-6-lloyd-avenue/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,York South-Weston,5,5d6ed245-9ad3-4272-894e-43d53a5a5c4b,"{'type': 'MultiPoint', 'coordinates': [[-79.4654616997808, 43.6717937698869]]}"
46,75,Warrender Park Playground Improvements,63 Warrender Avenue,In progress,The City is improving the playground at Warrender Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/96e2-warrender-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/warrender-park-playground-improvements/,Playground Improvements,"A photograph of Warrender Park, with the playground in the foreground. The playground includes a domed climbing structure and a blue swingset. Grass surrounds the playground.",NA,Etobicoke Centre,2,0fa69f81-ad95-4ce0-a23a-8c8ef80d05ff,"{'type': 'MultiPoint', 'coordinates': [[-79.5545283094973, 43.6750016002104]]}"
47,76,S.A.D.R.A. Park Expansion,455 Old Weston Rd,In progress,The City is improving S.A.D.R.A. Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/sadra-park/,Park or Facility Improvements,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Davenport,9,e78f0b09-b22b-435f-99e5-d311356aac8e,"{'type': 'MultiPoint', 'coordinates': [[-79.4633759201896, 43.6757648801078]]}"
48,77,S.A.D.R.A. Park Playground Improvements,455 Old Weston Road,In progress,The City is improving the playground at S.A.D.R.A. Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/01/8e8e-sadra-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/s-a-d-r-a-park-playground-improvements/,Playground Improvements,A photograph of S.A.D.R.A Park with a combined junior and senior play structure in the foreground and a swing set and climbing structure in the background. The play features are on top of sand.,NA,Davenport,9,61f0e2f5-faf4-4ec5-a57a-b22631014748,"{'type': 'MultiPoint', 'coordinates': [[-79.4633759201896, 43.6757648801078]]}"
49,78,New Park at Macpherson Avenue ,,In progress,A new park is coming to Macpherson Avenue. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/02/8c38-macpherson-ave-park-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/macpherson-avenue-park/,New Park,A computer rendering of people enjoying the park. Some people are running and some are sitting or walking. They are wearing masks over their lower faces.,NA,Toronto-St. Paul's,12,7316ec63-a66c-4e6b-a9a1-a0b2f7a4b756,"{'type': 'MultiPoint', 'coordinates': [[-79.4032724495014, 43.676596139676]]}"
50,79,Eden Valley Park Playground Improvements,6 Eden Valley Drive ,Complete,The City is improving the playground at Eden Valley Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/01/870a-eden-valley-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/eden-valley-park-playground-improvements/,Playground Improvements,"An photograph of Eden Valley Park Playground which includes a medium sized slide, swing set and spring toys on top of sand and grass.",NA,Etobicoke Centre,2,496944bb-7edb-4627-b6de-1e34e9f0c973,"{'type': 'MultiPoint', 'coordinates': [[-79.5340985405078, 43.6784752503428]]}"
51,80,Robertson Davies Park Improvements,275 Avenue Road ,In progress,The City is improving Queens Avenue Parkette. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/01/95b3-robertson-davies-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/robertson-davies-park-improvements/,Park or Facility Improvements,"A photo of the park sign, with trees lining a path in the page ground.",NA,Toronto-St. Paul's,12,030fa757-ff67-4fb3-b7c7-9dd54cac7d31,"{'type': 'MultiPoint', 'coordinates': [[-79.3978859496105, 43.6787386700695]]}"
52,81,Oakwood-St Clair Parkland Study,,In progress,The City is studying the parks and outdoor spaces in Oakwood Avenue and St. Clair Avenue West neighbourhood to identify opportunities for improvement.,https://www.toronto.ca/wp-content/uploads/2021/02/8b9e-oakwood-st-clair-parkland-study-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/oakwood-st-clair-parkland-study/,Master Plan or Study,St. Clair Av W street sign against a clear blue sky.,NA,Davenport,9,e7c4d49d-3d80-488b-8875-496cab796906,"{'type': 'MultiPoint', 'coordinates': [[-79.4364290499248, 43.6795219900284]]}"
53,82,Wychwood Barns Park Playground Improvements,76 Wychwood Avenue,In progress,The City is improving the playground at Wychwood Barns. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/90e8-wychwood-barns-park-playground-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/wychwood-barns-park-playground-improvements/,Playground Improvements,"A photograph of the playground in Wychwood Barns Park, which shows a see-saw and various standalone playground equipment in the foreground and a junior play structure and swing set in the background. Trees and shrubs surround the playground and the playground equipment is on sand.",NA,Toronto-St. Paul's,12,9e834435-e0b8-4559-a3eb-44e2b1924170,"{'type': 'MultiPoint', 'coordinates': [[-79.4229276898794, 43.6798890996564]]}"
54,83,New Park at 31 Innes Avenue,,In progress,A new park is coming to 31 Innes Ave. Learn more about the project and how you can get involved. This project was previously called New Park at 177 Caledonia Road.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://contrib.wp.intra.prod-toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-31-innes-ave/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Davenport,9,90672441-ecba-4237-8ae8-519e829d16a0,"{'type': 'MultiPoint', 'coordinates': [[-79.4566628494721, 43.6808902297659]]}"
55,84,Silver Creek Park Improvements ,44 Strathdee Drive ,Complete,The City is improving Silver Creek Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/09/970b-silver-creek-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/silver-creek-park-improvements/,Park or Facility Improvements,A photograph of Silver Creek Park taken on a sunny day. The park features mature trees throughout an open lawn area.,NA,Etobicoke Centre,2,ad0d9b31-16ad-46bb-a259-c0b75a1a019d,"{'type': 'MultiPoint', 'coordinates': [[-79.5451904093855, 43.6818422295636]]}"
56,86,Review of City Golf Course Operations,1000 Jane St,In progress,The City conducted an operational review of our five City-operated golf course locations to better understand how to maximize golf and non-golf experiences.,https://www.toronto.ca/wp-content/uploads/2021/05/8e79-review-city-golf-course-operations-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/review-of-city-golf-course-operations/,Master Plan or Study,An image of a golf course surrounded by tall mature trees with a bridge in the background. Two red golf balls sit on top of tees in the lawn.,NA,York South-Weston,5,dbce37ed-83bc-4f87-8fae-f758d07435b1,"{'type': 'MultiPoint', 'coordinates': [[-79.5032401797363, 43.6827181701469]]}"
57,87,New Park at 4000 Eglinton Avenue West ,4000 Eglinton Avenue West ,In progress,A new park is coming to 4000 Eglinton Avenue West. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-4000-eglinton-avenue-west/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke Centre,2,a2fdda96-1fda-41aa-afec-3e17de6b37d2,"{'type': 'MultiPoint', 'coordinates': [[-79.5228021197847, 43.6836076797962]]}"
58,88,Blantyre Park Improvements,180 Fallingbrook Rd,In progress,The City is improving Blantyre Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/06/977c-blantyre-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/blantyre-park-improvements/,Park or Facility Improvements,The outdoor pool at Blantyre Park on a sunny day. There is a large amount of people in the pool swimming. The pool is fenced in.,NA,Scarborough Southwest,20,449063bc-448d-4464-bb23-6bd2cbd078b4,"{'type': 'MultiPoint', 'coordinates': [[-79.2801324104923, 43.6837547200592]]}"
59,89,Governor's Bridge Lookout Revitalization,550 Bayview Ave,In progress,The City is improving the Beltline Trail. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/01/8edd-governors-bridge-lookout-concept-rendering-city-view.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/governors-bridge-lookout-revitalization/,Park or Facility Improvements,Artist rendering of the proposed lookout showing a view of the downtown skyline and the Don Valley Brick Works park below.,NA,University-Rosedale,11,3fed032b-cf99-4d14-b785-cc4b5145f3ba,"{'type': 'MultiPoint', 'coordinates': [[-79.3656311999022, 43.6837919503871]]}"
60,91,New Parks Near Bathurst Street & St. Clair Avenue West,1528-1530 Bathurst St,In progress,Three new parks are coming to the neighbourhood around Bathurst and St. Clair to meet the needs of the growing community.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-near-bathurst-and-st-clair/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto-St. Paul's,12,99c583c2-088a-4d94-8c30-100e108712d9,"{'type': 'MultiPoint', 'coordinates': [[-79.4193984899373, 43.6852361704137]]}"
61,92,New Park at 44 Jacks Avenue,44 Jackes Avenue ,In progress,A new park is coming to 44 Jacks Avenue. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/09/8775-44-jackes-avenue-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-44-jackes-avenue/,New Park,"Image shows the new park dedication site, with the residential apartment building in 44 Jackes pictured in the background.",NA,Toronto-St. Paul's,12,ff0b3a82-755c-4328-89b8-df108cfe1e18,"{'type': 'MultiPoint', 'coordinates': [[-79.3911777902752, 43.6857943898356]]}"
